年月,房屋類型,地址,屋齡,格局,出售樓層_總樓層,建物坪數,土地坪數,車位坪數,車位總價,每坪單價,成交總價,googleAPI_return_Address,lat,lng,street
10211(實價),住宅大樓(含車位),嘉義市嘉義市博東路91~120號,15.7,4房/2廳/3衛,17 /共22層,71.2,6.81,--,#NAME?,7.6萬,538萬,600台灣嘉義市東區博東路24-80號,23.4905823,120.4615667,王田里
10211(實價),住宅大樓,嘉義市嘉義市博東路91~120號,15.7,3房/2廳/2衛,5 /共22層,34.9,4.38,--,#NAME?,9.6萬,336萬,600台灣嘉義市東區博東路24-80號,23.4905823,120.4615667,王田里
10211(實價),住宅大樓,嘉義市嘉義市博東路91~120號,15.7,3房/2廳/2衛,8 /共22層,34.9,4.38,--,#NAME?,5.7萬,200萬,600台灣嘉義市東區博東路24-80號,23.4905823,120.4615667,王田里
10211(實價),住宅大樓,嘉義市嘉義市博東路91~120號,15.7,2房/2廳/1衛,7 /共22層,21.34,2.92,--,#NAME?,9.8萬,210萬,600台灣嘉義市東區博東路24-80號,23.4905823,120.4615667,王田里
10204(實價),透天厝,嘉義市嘉義市博東路271~300號,2.5,4房/2廳/3衛,1 /共4層,80.94,35.27,--,#NAME?,21萬,1700萬,600台灣嘉義市東區博東路269號,23.4905071,120.4580267,王田里
10201(實價),住宅大樓,嘉義市嘉義市博東路151~180號,14.8,3房/2廳/2衛,13 /共22層,42.34,5.11,--,#NAME?,7.2萬,305萬,600台灣嘉義市東區博東路80-112號,23.4908563,120.4605339,王田里
10202(實價),住宅大樓,嘉義市嘉義市博東路151~180號,14.9,3房/2廳/2衛,5 /共22層,44.63,5.6,--,#NAME?,7.4萬,330萬,600台灣嘉義市東區博東路80-112號,23.4908563,120.4605339,王田里
10205(實價),住宅大樓(含車位),嘉義市嘉義市博東路151~180號,15.2,1房/1廳/1衛,2 /共22層,45.53,5.6,--,#NAME?,7.2萬,330萬,600台灣嘉義市東區博東路80-112號,23.4908563,120.4605339,王田里
10205(實價),住宅大樓(含車位),嘉義市嘉義市博東路151~180號,15.2,4房/2廳/2衛,13 /共22層,33.7,5.6,9.23,#NAME?,9.8萬,330萬,600台灣嘉義市東區博東路80-112號,23.4908563,120.4605339,王田里
10209(實價),住宅大樓(含車位),嘉義市嘉義市博東路151~180號,15.5,3房/1廳/2衛,4 /共22層,46.96,4.62,9.23,#NAME?,7.3萬,345萬,600台灣嘉義市東區博東路80-112號,23.4908563,120.4605339,王田里
